...1,Country,Date,Cum_conf_cases,Cum_susp_cases,Cum_conf_death
463,Sierra Leone,2014-12-03,5978,1255,1374
469,Guinea,2014-12-01,1921,24,1102
470,Liberia,2014-12-01,2801,3042,NA
471,Sierra Leone,2014-12-01,5831,1199,1321
477,Guinea,2014-11-26,1850,74,1050
478,Liberia,2014-11-26,2727,2687,NA
479,Sierra Leone,2014-11-26,5441,1079,1189
485,Guinea,2014-11-21,1745,86,998
486,Liberia,2014-11-21,2669,2663,NA
487,Sierra Leone,2014-11-21,5152,959,1058
493,Guinea,2014-11-19,1698,63,982
494,Liberia,2014-11-19,2643,2664,NA
495,Sierra Leone,2014-11-19,5056,938,1041
501,Guinea,2014-11-14,1647,64,958
502,Liberia,2014-11-14,2562,2600,NA
503,Sierra Leone,2014-11-14,4683,824,978
509,Guinea,2014-11-12,1612,58,934
510,Liberia,2014-11-12,2553,2582,NA
511,Sierra Leone,2014-11-12,4523,766,960
517,Guinea,2014-11-07,1479,77,850
518,Liberia,2014-11-07,2514,2476,NA
519,Sierra Leone,2014-11-07,4149,634,921
525,Guinea,2014-11-05,1457,70,837
526,Liberia,2014-11-05,2451,2447,NA
527,Sierra Leone,2014-11-05,4057,623,893
533,Guinea,2014-10-31,1409,54,NA
534,Liberia,2014-10-31,2515,2480,NA
535,Sierra Leone,2014-10-31,3778,1238,NA
541,Guinea,2014-10-29,1391,316,NA
542,Liberia,2014-10-29,2515,2480,NA
543,Sierra Leone,2014-10-29,3700,1213,NA
549,Guinea,2014-10-25,1312,47,732
550,Liberia,2014-10-25,965,1594,1241
551,Sierra Leone,2014-10-25,3389,470,1008
557,Guinea,2014-10-22,1289,58,710
558,Liberia,2014-10-22,965,1594,1241
559,Sierra Leone,2014-10-22,3223,446,986
564,Guinea,2014-10-17,1217,111,671
565,Sierra Leone,2014-10-17,2977,396,932
570,Guinea,2014-10-15,1184,98,653
571,Liberia,2014-10-15,950,1376,NA
572,Sierra Leone,2014-10-15,2849,366,926
577,Guinea,2014-10-10,1097,73,598
578,Liberia,2014-10-10,943,1259,1072
579,Sierra Leone,2014-10-10,2593,320,753
584,Guinea,2014-10-08,1044,74,587
585,Liberia,2014-10-08,941,1188,1018
586,Sierra Leone,2014-10-08,2455,297,725
590,Guinea,2014-10-03,977,45,562
591,Liberia,2014-10-03,931,1190,934
592,Sierra Leone,2014-10-03,2179,221,575
596,Guinea,2014-10-01,950,37,535
597,Liberia,2014-10-01,927,1113,890
598,Sierra Leone,2014-10-01,2076,191,574
601,Guinea,2014-09-26,876,36,481
602,Liberia,2014-09-26,914,1005,792
603,Sierra Leone,2014-09-26,1816,168,557
606,Guinea,2014-09-24,832,28,468
